tag           variant     beta lam   M  W  g1  g2 n | suff | H(C|O) hall1 [Gam,GamS] hall2 [Gam,GamS] | H(C|Gam,O) | I(C;th|O) h1 h2 | I(C;w|O) h1 h2 | err use2 | H(H|O) h1
grid_horizon  diacritic  0.010   0  16  1   3  20 8 | 5/8 |  2.00 [2.00,2.00]   1.56 [1.00,1.00] |  0.56 | 2.00 1.51 | 0.00 0.00 | 0.19 | 5.00
grid_horizon  diacritic  0.010   0  16  1   8   6 8 | 2/8 |  2.00 [2.00,2.00]   1.75 [1.00,1.00] |  0.75 | 2.00 1.75 | 0.00 0.00 | 0.38 | 5.00
grid_horizon  diacritic  0.010   0  16  1  15   6 8 | 0/8 |  0.00 [2.00,2.00]   0.17 [1.00,1.00] |  0.17 | 0.00 0.00 | 0.00 0.00 | 0.50 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3   1 8 | 8/8 |  2.09 [2.00,2.00]   1.93 [1.00,1.00] |  0.93 | 2.09 1.89 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3   3 8 | 8/8 |  2.09 [2.00,2.00]   1.85 [1.00,1.00] |  0.85 | 2.09 1.77 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3   6 8 | 8/8 |  2.02 [2.00,2.00]   1.80 [1.00,1.00] |  0.80 | 2.02 1.80 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3  10 8 | 5/8 |  2.03 [2.00,2.00]   1.52 [1.00,1.00] |  0.52 | 2.03 1.52 | 0.00 0.00 | 0.06 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3  15 8 | 1/8 |  2.00 [2.00,2.00]   2.00 [1.00,1.00] |  1.00 | 2.00 2.00 | 0.00 0.00 | 0.16 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3  20 8 | 3/8 |  2.00 [2.00,2.00]   1.67 [1.00,1.00] |  0.67 | 2.00 1.67 | 0.00 0.00 | 0.25 | 5.00
grid_horizon  diacritic  0.010   1  16  1   8   6 8 | 4/8 |  2.05 [2.00,2.00]   1.85 [1.00,1.00] |  0.85 | 2.05 1.66 | 0.00 0.00 | 0.12 | 5.00
grid_horizon  diacritic  0.010   1  16  1  15   6 8 | 2/8 |  2.00 [2.00,2.00]   1.66 [1.00,1.00] |  0.66 | 2.00 1.41 | 0.00 0.00 | 0.31 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3   1 8 | 8/8 |  2.00 [2.00,2.00]   1.44 [1.00,1.00] |  0.44 | 2.00 1.44 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3   3 8 | 8/8 |  2.01 [2.00,2.00]   1.35 [1.00,1.00] |  0.35 | 2.01 1.32 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3   6 8 | 8/8 |  2.03 [2.00,2.00]   1.25 [1.00,1.00] |  0.25 | 2.03 1.25 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3  10 8 | 8/8 |  2.06 [2.00,2.00]   1.51 [1.00,1.00] |  0.51 | 2.06 1.51 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3  15 8 | 8/8 |  2.00 [2.00,2.00]   1.41 [1.00,1.00] |  0.41 | 2.00 1.41 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3  20 8 | 8/8 |  2.00 [2.00,2.00]   1.38 [1.00,1.00] |  0.38 | 2.00 1.38 | 0.00 0.00 | 0.00 | 5.00
grid_ladder   bypass     0.010   0   4  1   3   6 8 | 0/8 |  0.17 [2.00,2.00]   0.31 [1.00,1.00] |  0.19 | 0.17 0.29 | 0.00 0.00 | 0.44 | 3.00
grid_ladder   bypass     0.010   0  16  1   3   6 8 | 1/8 |  2.00 [2.00,2.00]   1.50 [1.00,1.00] |  0.50 | 2.00 1.50 | 0.00 0.00 | 0.44 | 5.00
grid_ladder   bypass     0.010   0  64  1   3   6 8 | 0/8 |  0.29 [2.00,2.00]   0.24 [1.00,1.00] |  0.11 | 0.29 0.24 | 0.00 0.00 | 0.44 | 7.00
grid_ladder   diacritic  0.000   0   4  1   3   6 8 | 8/8 |  2.00 [2.00,2.00]   1.30 [1.00,1.00] |  0.30 | 2.00 1.26 | 0.00 0.00 | 0.00 | 3.00
grid_ladder   diacritic  0.000   0  16  1   3   6 8 | 7/8 |  2.00 [2.00,2.00]   1.30 [1.00,1.00] |  0.30 | 2.00 1.30 | 0.00 0.00 | 0.00 | 5.00
grid_ladder   diacritic  0.000   0  64  1   3   6 8 | 6/8 |  2.00 [2.00,2.00]   1.28 [1.00,1.00] |  0.28 | 2.00 1.28 | 0.00 0.00 | 0.12 | 7.00
grid_ladder   diacritic  0.010   0   4  1   3   6 8 | 7/8 |  2.00 [2.00,2.00]   1.36 [1.00,1.00] |  0.36 | 2.00 1.33 | 0.00 0.00 | 0.06 | 3.00
grid_ladder   diacritic  0.010   0  16  1   3   6 8 | 4/8 |  2.07 [2.00,2.00]   1.20 [1.00,1.00] |  0.20 | 2.07 1.20 | 0.00 0.00 | 0.22 | 5.00
grid_ladder   diacritic  0.010   0  64  1   3   6 8 | 6/8 |  2.02 [2.00,2.00]   1.17 [1.00,1.00] |  0.17 | 2.02 1.17 | 0.00 0.00 | 0.12 | 7.00
grid_ladder   diacritic  0.010   1   4  1   3   6 8 | 8/8 |  2.00 [2.00,2.00]   1.47 [1.00,1.00] |  0.47 | 2.00 1.44 | 0.00 0.00 | 0.00 | 3.00
grid_ladder   diacritic  0.010   1  16  1   3   6 8 | 8/8 |  2.02 [2.00,2.00]   1.80 [1.00,1.00] |  0.80 | 2.02 1.80 | 0.00 0.00 | 0.00 | 5.00
grid_ladder   diacritic  0.010   1  64  1   3   6 8 | 6/8 |  2.00 [2.00,2.00]   1.86 [1.00,1.00] |  0.86 | 2.00 1.78 | 0.00 0.00 | 0.06 | 7.00
grid_ladder   diacritic  0.030   0   4  1   3   6 8 | 6/8 |  2.00 [2.00,2.00]   1.60 [1.00,1.00] |  0.60 | 2.00 1.52 | 0.00 0.00 | 0.12 | 3.00
grid_ladder   diacritic  0.030   0  16  1   3   6 8 | 7/8 |  2.02 [2.00,2.00]   1.37 [1.00,1.00] |  0.37 | 2.02 1.37 | 0.00 0.00 | 0.06 | 5.00
grid_ladder   diacritic  0.030   0  64  1   3   6 8 | 3/8 |  2.02 [2.00,2.00]   1.35 [1.00,1.00] |  0.35 | 2.02 1.27 | 0.00 0.00 | 0.31 | 7.00
grid_ladder   mik        0.010   0   4  1   3   6 8 | 0/8 |  0.75 [2.00,2.00]   0.27 [1.00,1.00] |  0.27 | 0.75 0.25 | 0.00 0.00 | 0.50 | 3.00
grid_ladder   mik        0.010   0  16  1   3   6 8 | 0/8 |  0.87 [2.00,2.00]   0.31 [1.00,1.00] |  0.31 | 0.87 0.25 | 0.00 0.00 | 0.50 | 5.00
grid_ladder   mik        0.010   0  64  1   3   6 8 | 0/8 |  0.93 [2.00,2.00]   0.43 [1.00,1.00] |  0.41 | 0.93 0.43 | 0.00 0.00 | 0.48 | 7.00
grid_ladder   sysid      0.010   0   4  1   3   6 8 | 8/8 |  2.00 [2.00,2.00]   2.00 [1.00,1.00] |  1.00 | 2.00 2.00 | 0.00 0.00 | 0.00 | 3.00
grid_ladder   sysid      0.010   0  16  1   3   6 8 | 0/8 |  2.43 [2.00,2.00]   2.48 [1.00,1.00] |  2.00 | 2.43 2.47 | 0.00 0.00 | 0.24 | 5.00
grid_ladder   sysid      0.010   0  64  1   3   6 8 | 0/8 |  2.25 [2.00,2.00]   2.22 [1.00,1.00] |  1.66 | 2.25 2.22 | 0.00 0.00 | 0.20 | 7.00
grid_ladder   uncond     0.010   0   4  1   3   6 8 | 8/8 |  2.00 [2.00,2.00]   1.34 [1.00,1.00] |  0.34 | 2.00 1.31 | 0.00 0.00 | 0.00 | 3.00
grid_ladder   uncond     0.010   0  16  1   3   6 8 | 6/8 |  2.00 [2.00,2.00]   1.68 [1.00,1.00] |  0.68 | 2.00 1.68 | 0.00 0.00 | 0.09 | 5.00
grid_ladder   uncond     0.010   0  64  1   3   6 8 | 4/8 |  2.03 [2.00,2.00]   1.45 [1.00,1.00] |  0.45 | 2.03 1.42 | 0.00 0.00 | 0.19 | 7.00
saved toy/results/grid_summary.csv
